label_path,image_path,dataset_name
data/magrabi/labels/cropped_staple_cd_magrabi_female_image26prime.png,data/magrabi/images/cropped_magrabi_female_image26prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image33prime.png,data/magrabi/images/cropped_magrabi_female_image33prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image19prime.png,data/magrabi/images/cropped_magrabi_male_image19prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image32prime.png,data/magrabi/images/cropped_magrabi_female_image32prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image22prime.png,data/magrabi/images/cropped_magrabi_male_image22prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image45prime.png,data/magrabi/images/cropped_magrabi_male_image45prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image39prime.png,data/magrabi/images/cropped_magrabi_male_image39prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image29prime.png,data/magrabi/images/cropped_magrabi_female_image29prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image17prime.png,data/magrabi/images/cropped_magrabi_male_image17prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image14prime.png,data/magrabi/images/cropped_magrabi_female_image14prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image31prime.png,data/magrabi/images/cropped_magrabi_female_image31prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image12prime.png,data/magrabi/images/cropped_magrabi_male_image12prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image38prime.png,data/magrabi/images/cropped_magrabi_male_image38prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image9prime.png,data/magrabi/images/cropped_magrabi_female_image9prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image5prime.png,data/magrabi/images/cropped_magrabi_male_image5prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image40prime.png,data/magrabi/images/cropped_magrabi_female_image40prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image8prime.png,data/magrabi/images/cropped_magrabi_male_image8prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image26prime.png,data/magrabi/images/cropped_magrabi_male_image26prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image6prime.png,data/magrabi/images/cropped_magrabi_female_image6prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image18prime.png,data/magrabi/images/cropped_magrabi_female_image18prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image27prime.png,data/magrabi/images/cropped_magrabi_female_image27prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image46prime.png,data/magrabi/images/cropped_magrabi_female_image46prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image27prime.png,data/magrabi/images/cropped_magrabi_male_image27prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image8prime.png,data/magrabi/images/cropped_magrabi_female_image8prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image23prime.png,data/magrabi/images/cropped_magrabi_male_image23prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image47prime.png,data/magrabi/images/cropped_magrabi_male_image47prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image28prime.png,data/magrabi/images/cropped_magrabi_male_image28prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_male_image3prime.png,data/magrabi/images/cropped_magrabi_male_image3prime.png,magrabi
data/magrabi/labels/cropped_staple_cd_magrabi_female_image1prime.png,data/magrabi/images/cropped_magrabi_female_image1prime.png,magrabi
